Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,241,C,,,,287,,,24.1,,N,
,241,C,,,,339,,,24.1,,N,
,256,A,,,,267,,,25.6,,N,
,256,A,,,,285,,,25.6,,N,
,265,A,,,,345,,,26.5,,N,
,267,A,,,,313,,,26.7,,N,
,273,A,,,,332,,,27.3,,N,
,275,A,,,,321,,,27.5,,N,
,283,D,,,,326,,,28.3,,N,
,289,A,,,,293,,,28.9,,N,
,289,A,,,,417,,,28.9,,N,
,297,A,,,,325,,,29.7,,N,
,298,C,,,,414,,,29.8,,N,
,299,A,,,,436,,,29.9,,N,
,314,A,,,,440,,,31.4,,N,
,316,A,,,,439,,,31.6,,N,
,316,A,,,,395,,,31.6,,N,
,318,A,,,,448,,,31.8,,N,
,318,A,,,,326,,,31.8,,N,
,321,B,,,,345,,,32.1,,N,
,325,B,,,,344,,,32.5,,N,
,325,B,,,,336,,,32.5,,N,
,354,A,345,C,,,,,35.4,,N,
,347,A,,,358,,,,34.7,,Y,
,,,,,,,,,,,,
,,,,,,,,,,,,
281,,,347,A,,,,,,,,
199,,,343,A,,,,,,,,
83,,,342,A,,,,,,,,
199,,,341,B,,,,,,,,
184,,,331,A,,,,,,,,
273,,,325,C,,,,,,,,
234,,,325,B,,,,,,,,
285,,,321,B,,,,,,,,
259,,,321,A,,,,,,,,
199,,,318,A,,,,,,,,
248,,,316,C,,,,,,,,
306,,,316,A,,,,,,,,
210,,,315,B,,,,,,,,
285,,,289,A,,,,,,,,
145,,,283,A,,,,,,,,
165,,,276,A,,,,,,,,
252,,,275,A,,,,,,,,
199,,,269,A,,,,,,,,
199,,,267,A,,,,,,,,
